referenceNumber,larsCode,title,level,route,typicalDuration,maxFunding,status
"ST0999","690","Lead engineering maintenance technician","4","Engineering and manufacturing","36","19000","Approved for delivery"
"ST0345","491","Digital community manager","4","Digital","24","13000","Approved for delivery"
"ST0292","35","Nuclear welding inspection technician","4","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0533","300","Architect (integrated degree)","7","Construction and the built environment","48","21000","Approved for delivery"
"ST0288","67","Non-destructive technologies technician","3","Engineering and manufacturing","24","18000","Approved for delivery"
"ST0240","60","Insurance practitioner","3","Legal, finance and accounting","12","8000","Approved for delivery"
"ST1349","736","Lead baker","3","Catering and hospitality","24","9000","Approved for delivery"
"ST1315","762","Aircraft maintenance technician","3","Engineering and manufacturing","36","27000","Approved for delivery"
"ST0095","287","Bricklayer","2","Construction and the built environment","24","13000","Approved for delivery"
"ST0013","38","High integrity software engineer","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0447","533","Clock maker","3","Creative and design","24","21000","Approved for delivery"
"ST0385","104","Operations manager","5","Business and administration","24","9000","Approved for delivery"
"ST0625","542","Creative digital design professional (integrated degree)","6","Digital","36","25000","Approved for delivery"
"ST1031","737","Multi-channel marketer","3","Sales, marketing and procurement","18","11000","Approved for delivery"
"ST0476","526","Assistant puppet maker","3","Creative and design","18","13000","Approved for delivery"
"ST1371","770","Model maker","6","Creative and design","36","26000","Approved for delivery"
"ST1348","757","Drainage network operative","2","Engineering and manufacturing","18","9000","Approved for delivery"
"ST0668","485","Assistant buyer and merchandiser","6","Sales, marketing and procurement","24","10000","Approved for delivery"
"ST0798","604","Clinical pharmacology scientist (integrated degree)","7","Health and science","30","18000","Approved for delivery"
"ST0602","320","Revenues and welfare benefits practitioner","4","Business and administration","12","7000","Approved for delivery"
"ST0425","547","Broadcast and media systems technician","5","Creative and design","24","15000","Approved for delivery"
"ST0363","144","Senior compliance and risk specialist","6","Legal, finance and accounting","36","23000","Approved for delivery"
"ST0338","189","Passenger transport driver - bus and coach or tram","2","Transport and logistics","12","8000","Approved for delivery"
"ST0958","659","Community health and wellbeing worker","3","Health and science","12","7000","Approved for delivery"
"ST0872","667","Lifting equipment technician","3","Engineering and manufacturing","24","12000","Approved for delivery"
"ST1395","773","Engineering and manufacturing support technician","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0551","655","Early years lead practitioner","5","Education and early years","24","9000","Approved for delivery"
"ST0276","362","Maritime mechanical and electrical mechanic","2","Engineering and manufacturing","18","12000","Approved for delivery"
"ST0671","800","Construction equipment maintenance technician","3","Engineering and manufacturing","36","19000","Approved for delivery"
"ST0007","551","Lead practitioner in adult care","4","Care services","18","7000","Approved for delivery"
"ST0954","653","Aviation movement specialist","3","Transport and logistics","18","7000","Approved for delivery"
"ST0273","83","Junior management consultant","4","Business and administration","24","9000","Approved for delivery"
"ST0316","88","Rail engineering advanced technician","4","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0318","89","Rail engineering technician","3","Engineering and manufacturing","36","24000","Approved for delivery"
"ST0317","90","Rail engineering operative","2","Engineering and manufacturing","12","12000","Approved for delivery"
"ST0115","142","IT technical salesperson","3","Sales, marketing and procurement","12","12000","Approved for delivery"
"ST0077","152","Advanced butcher","3","Sales, marketing and procurement","18","12000","Approved for delivery"
"ST0380","163","Nuclear technician","5","Engineering and manufacturing","36","21000","Approved for delivery"
"ST0266","195","Digital engineering technician","3","Construction and the built environment","36","21000","Approved for delivery"
"ST0890","750","Embalmer","5","Health and science","36","20000","Approved for delivery"
"ST0023","9","Control systems engineer (degree)","6","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0683","458","Buying and merchandising assistant","4","Sales, marketing and procurement","18","6000","Approved for delivery"
"ST0024","10","Electrical and electronic engineer (degree)","6","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0393","149","Dairy technologist","5","Health and science","36","26000","Approved for delivery"
"ST0055","72","Bespoke cutter and tailor","5","Creative and design","24","17000","Approved for delivery"
"ST0383","158","Spectacle technician","3","Engineering and manufacturing","18","8000","Approved for delivery"
"ST0309","461","Print technician","3","Engineering and manufacturing","36","14000","Approved for delivery"
"ST0056","400","Bid and proposal co-ordinator","3","Sales, marketing and procurement","24","8000","Approved for delivery"
"ST0378","534","Blacksmith","3","Creative and design","48","21000","Approved for delivery"
"ST0609","307","Clinical trials specialist (degree)","6","Health and science","60","26000","Approved for delivery"
"ST0092","242","Community energy specialist","4","Business and administration","24","6000","Approved for delivery"
"ST0540","359","Fashion and textiles product technologist","4","Engineering and manufacturing","22","9000","Approved for delivery"
"ST0439","605","Jewellery, silversmithing, and allied trades professional","3","Creative and design","36","16000","Approved for delivery"
"ST0329","310","Junior estate agent","2","Sales, marketing and procurement","12","4000","Approved for delivery"
"ST0507","316","Metal recycling general operative","2","Engineering and manufacturing","12","9000","Approved for delivery"
"ST0511","366","Mineral and construction product sampling and testing operations","2","Engineering and manufacturing","14","9000","Approved for delivery"
"ST0474","210","Motor finance specialist","3","Legal, finance and accounting","24","6000","Approved for delivery"
"ST0541","361","Fashion and textiles pattern cutter","3","Engineering and manufacturing","22","9000","Approved for delivery"
"ST0299","396","Pharmacy services assistant","2","Health and science","12","5000","Approved for delivery"
"ST0373","353","Powered pedestrian door installer and service engineer","2","Construction and the built environment","24","9000","Approved for delivery"
"ST0586","371","Regulatory affairs specialist","7","Health and science","30","21000","Approved for delivery"
"ST0473","248","Science industry process and plant engineer (degree)","6","Engineering and manufacturing","60","24000","Approved for delivery"
"ST0283","317","Senior metrology technician","5","Health and science","36","21000","Approved for delivery"
"ST0369","207","Non-destructive testing engineer (degree)","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0198","131","Food industry technologist","3","Health and science","24","18000","Approved for delivery"
"ST0549","334","Sewing machinist","2","Engineering and manufacturing","15","8000","Approved for delivery"
"ST0628","451","Cultural heritage conservator (degree)","7","Creative and design","54","27000","Approved for delivery"
"ST0639","521","Bespoke furniture maker","3","Creative and design","24","10000","Approved for delivery"
"ST0741","565","Landscape technician","3","Construction and the built environment","24","9000","Approved for delivery"
"ST0877","612","Land referencer","4","Construction and the built environment","30","14000","Approved for delivery"
"ST0675","477","Materials science technologist (degree)","6","Engineering and manufacturing","48","24000","Approved for delivery"
"ST0664","395","Library, information and archive services assistant","3","Business and administration","18","6000","Approved for delivery"
"ST0654","498","Fitted furniture design technician","3","Engineering and manufacturing","18","7000","Approved for delivery"
"ST0489","538","Storyboard artist","7","Creative and design","18","15000","Approved for delivery"
"ST0900","573","Camera prep technician","3","Creative and design","24","11000","Approved for delivery"
"ST0873","584","Hygiene specialist","4","Health and science","24","12000","Approved for delivery"
"ST0248","14","Laboratory technician","3","Health and science","24","21000","Approved for delivery"
"ST0336","100","Transport planning technician","3","Construction and the built environment","30","13000","Approved for delivery"
"ST0651","664","Lightning protection operative","2","Construction and the built environment","18","14000","Approved for delivery"
"ST0742","641","Chartered landscape professional","7","Construction and the built environment","60","25000","Approved for delivery"
"ST0906","610","Youth support worker","3","Care services","18","4500","Approved for delivery"
"ST0117","165","Business analyst","4","Digital","18","18000","Approved for delivery"
"ST0116","2","Software developer","4","Digital","24","18000","Approved for delivery"
"ST0845","651","Project controls professional","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0907","657","Aviation customer service operative","2","Transport and logistics","12","3500","Approved for delivery"
"ST0196","129","Food and drink technical operator","3","Engineering and manufacturing","30","16000","Approved for delivery"
"ST0199","130","Food and drink process operator","2","Engineering and manufacturing","12","5000","Approved for delivery"
"ST0395","235","Watchmaker","3","Creative and design","24","27000","Approved for delivery"
"ST0063","178","Building services engineering technician 2022","3","Construction and the built environment","32","16000","Approved for delivery"
"ST0889","677","Mortuary technician","3","Health and science","18","13000","Approved for delivery"
"ST0563","325","Learning and development consultant business partner","5","Business and administration","18","7000","Approved for delivery"
"ST0542","422","Oral health practitioner","4","Health and science","14","9000","Approved for delivery"
"ST0575","232","School business professional","4","Business and administration","18","6000","Approved for delivery"
"ST0616","423","Wireless communications rigger","2","Construction and the built environment","18","12000","Approved for delivery"
"ST0962","646","Print operative","2","Engineering and manufacturing","24","8000","Approved for delivery"
"ST0058","179","Animal technologist","3","Health and science","24","10000","Approved for delivery"
"ST0193","238","Improvement technician","3","Business and administration","14","4000","Approved for delivery"
"ST0192","237","Improvement practitioner","4","Business and administration","14","6000","Approved for delivery"
"ST0387","579","Lift truck and powered access engineering technician","3","Engineering and manufacturing","36","16000","Approved for delivery"
"ST0234","65","Housing and property management","3","Sales, marketing and procurement","18","7000","Approved for delivery"
"ST0235","64","Housing and property management assistant","2","Sales, marketing and procurement","12","3000","Approved for delivery"
"ST0236","66","Senior housing and property management","4","Sales, marketing and procurement","18","9000","Approved for delivery"
"ST0465","346","Risk and safety management professional (degree)","7","Engineering and manufacturing","36","19000","Approved for delivery"
"ST0526","231","Policy officer","4","Business and administration","18","6000","Approved for delivery"
"ST1299","714","CNFE - Cellular network field engineer","4","Construction and the built environment","36","27000","Approved for delivery"
"ST0464","524","Smart home technician","3","Construction and the built environment","18","9000","Approved for delivery"
"ST0810","590","Procurement and supply assistant","3","Sales, marketing and procurement","18","6000","Approved for delivery"
"ST0010","37","Aerospace engineer","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0841","523","Engineering manufacturing technician","4","Engineering and manufacturing","42","21000","Approved for delivery"
"ST0566","365","Metal casting, foundry and patternmaking technician","3","Engineering and manufacturing","27","24000","Approved for delivery"
"ST0271","171","Steel fixer","2","Construction and the built environment","18","18000","Approved for delivery"
"ST0583","340","Mammography associate","4","Health and science","12","10000","Approved for delivery"
"ST0031","304","Automotive glazing technician","3","Engineering and manufacturing","18","10000","Approved for delivery"
"ST0189","126","Fire emergency and security systems technician","3","Construction and the built environment","36","19000","Approved for delivery"
"ST0682","752","Digital device repair technician","3","Digital","21","11000","Approved for delivery"
"ST0629","544","BEMS (building energy management systems) controls engineer","4","Construction and the built environment","36","15000","Approved for delivery"
"ST0985","724","Lead traffic management operative","2","Construction and the built environment","18","8000","Approved for delivery"
"ST0418","274","Abattoir worker","2","Engineering and manufacturing","16","6000","Approved for delivery"
"ST1325","712","Junior visual effects - VFX artist or assistant technical director - ATD","4","Creative and design","18","10000","Approved for delivery"
"ST0433","376","Engineering construction erector rigger","3","Construction and the built environment","36","18000","Approved for delivery"
"ST0162","202","Engineering construction pipefitter","3","Construction and the built environment","36","21000","Approved for delivery"
"ST0414","315","Military engineering construction technician","3","Construction and the built environment","18","11000","Approved for delivery"
"ST1379","694","Learning and skills mentor","4","Education and early years","12","5000","Approved for delivery"
"ST0109","20","Dental practice manager","4","Business and administration","24","9000","Approved for delivery"
"ST0322","49","Refrigeration air conditioning and heat pump engineering technician","3","Construction and the built environment","36","20000","Approved for delivery"
"ST0884","600","Operational research specialist","7","Business and administration","24","14000","Approved for delivery"
"ST0859","642","Fire safety engineer","6","Construction and the built environment","60","27000","Approved for delivery"
"ST0978","772","Furniture restorer","3","Creative and design","36","13000","Approved for delivery"
"ST0782","554","Curator","7","Creative and design","36","12000","Approved for delivery"
"ST0626","221","Scientist","6","Health and science","60","27000","Approved for delivery"
"ST0313","222","Procurement and supply chain practitioner","4","Sales, marketing and procurement","18","10000","Approved for delivery"
"ST0282","187","Metrology technician","3","Health and science","36","24000","Approved for delivery"
"ST0071","278","Customer service specialist","3","Sales, marketing and procurement","15","4000","Approved for delivery"
"ST0290","46","Nuclear health physics monitor","2","Engineering and manufacturing","24","13000","Approved for delivery"
"ST0269","385","Hire controller (plant, tools and equipment)","2","Construction and the built environment","12","6000","Approved for delivery"
"ST0488","558","Junior animator","4","Creative and design","18","14000","Approved for delivery"
"ST0238","190","People professional","5","Business and administration","22","11000","Approved for delivery"
"ST0431","243","Vision rehabilitation specialist","5","Health and science","24","17000","Approved for delivery"
"ST0757","611","Radio network technician","3","Digital","24","19000","Approved for delivery"
"ST1414","785","Specialist teaching assistant","5","Education and early years","24","12000","Approved for delivery"
"ST0078","54","Butcher","2","Sales, marketing and procurement","18","10000","Approved for delivery"
"ST1377","693","Optical assistant 2022","3","Health and science","18","8000","Approved for delivery"
"ST0287","156","Associate ambulance practitioner","4","Health and science","18","15000","Approved for delivery"
"ST0170","162","Facilities management supervisor","3","Construction and the built environment","18","5000","Approved for delivery"
"ST1297","721","Creative industries production technician","3","Creative and design","24","14000","Approved for delivery"
"ST0155","74","Gas engineering operative","3","Construction and the built environment","18","23000","Approved for delivery"
"ST1313","827","Aerospace engineering technician","3","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0484","266","Facilities manager","4","Construction and the built environment","24","7000","Approved for delivery"
"ST0158","819","Dual fuel smart meter installer","2","Construction and the built environment","8","12000","Approved for delivery"
"ST0349","94","Welder","2","Engineering and manufacturing","18","13000","Approved for delivery"
"ST0311","257","Public relations and communications assistant","4","Sales, marketing and procurement","14","11000","Approved for delivery"
"ST0430","253","Regulatory compliance officer","4","Business and administration","24","9000","Approved for delivery"
"ST0917","754","Scenic construction technician","3","Creative and design","30","23000","Approved for delivery"
"ST0302","321","Personal trainer","3","Health and science","15","4000","Approved for delivery"
"ST0899","592","Material cutter","2","Engineering and manufacturing","12","5000","Approved for delivery"
"ST0059","76","Boatbuilder","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0736","575","Construction plant operative","2","Construction and the built environment","15","14000","Approved for delivery"
"ST1462","829","Osteopath","6","Health and science","48","27000","Approved for delivery"
"ST0762","540","Information manager","4","Business and administration","24","7000","Approved for delivery"
"ST1301","802","Paraplanner and financial planner","4","Legal, finance and accounting","24","13000","Approved for delivery"
"ST0469","599","Bookbinder","2","Creative and design","24","10000","Approved for delivery"
"ST0197","184","Food industry technical professional (integrated degree)","6","Health and science","48","27000","Approved for delivery"
"ST0521","233","Industrial thermal insulation technician","3","Construction and the built environment","24","20000","Approved for delivery"
"ST0785","706","Human factors specialist","7","Engineering and manufacturing","36","19000","Approved for delivery"
"ST0580","294","Brewer","4","Engineering and manufacturing","18","13000","Approved for delivery"
"ST0925","574","Junior advertising creative","3","Creative and design","18","11000","Approved for delivery"
"ST0875","679","Small vessel chief engineer","4","Engineering and manufacturing","48","16000","Approved for delivery"
"ST0847","595","Engineer surveyor","4","Engineering and manufacturing","24","12000","Approved for delivery"
"ST0405","435","Vehicle damage mechanical, electrical and trim (MET) technician","3","Engineering and manufacturing","36","15000","Approved for delivery"
"ST0403","437","Vehicle damage panel technician","3","Engineering and manufacturing","36","15000","Approved for delivery"
"ST0696","442","Post production technical operator","4","Creative and design","12","9000","Approved for delivery"
"ST0216","820","Healthcare support worker","2","Health and science","8","5000","Approved for delivery"
"ST1342","774","Steeplejack","2","Construction and the built environment","24","13000","Approved for delivery"
"ST1303","698","Accounting finance manager","6","Legal, finance and accounting","36","27000","Approved for delivery"
"ST0929","760","Pastry chef","3","Catering and hospitality","18","11000","Approved for delivery"
"ST0168","159","Event assistant","3","Sales, marketing and procurement","18","9000","Approved for delivery"
"ST0366","356","Fencing installer","2","Construction and the built environment","18","10000","Approved for delivery"
"ST0966","738","Teacher for the sensory impaired","7","Education and early years","24","14000","Approved for delivery"
"ST0863","643","Digital accessibility specialist","4","Digital","24","16000","Approved for delivery"
"ST0003","117","Professional accounting technician","4","Legal, finance and accounting","18","12000","Approved for delivery"
"ST0205","57","Gas network craftsperson","3","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0808","625","Marine electrician","3","Engineering and manufacturing","42","23000","Approved for delivery"
"ST0331","50","Chartered surveyor (degree)","6","Construction and the built environment","60","27000","Approved for delivery"
"ST0659","426","Materials process engineer (degree)","7","Engineering and manufacturing","24","17000","Approved for delivery"
"ST0833","560","Ordnance munitions explosives technician","4","Engineering and manufacturing","30","9000","Approved for delivery"
"ST0967","676","Data protection and information governance practitioner","4","Business and administration","18","10000","Approved for delivery"
"ST0352","176","Accident repair technician","3","Engineering and manufacturing","33","18000","Approved for delivery"
"ST0852","486","Plate welder","3","Engineering and manufacturing","36","27000","Approved for delivery"
"ST1020","717","Low carbon heating technician","3","Construction and the built environment","36","22000","Approved for delivery"
"ST1426","816","Engineering maintenance technician - single discipline","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0637","302","Packaging professional (integrated degree)","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0905","635","Play therapist","7","Care services","36","20000","Approved for delivery"
"ST1443","815","Engineering maintenance technician - dual discipline","3","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0904","668","Archivist and records manager","7","Creative and design","36","12000","Approved for delivery"
"ST0457","167","Engineering technician","3","Engineering and manufacturing","42","26000","Approved for delivery"
"ST0876","593","Water process operative","2","Engineering and manufacturing","18","9000","Approved for delivery"
"ST0128","154","Software development technician","3","Digital","18","15000","Approved for delivery"
"ST0390","414","Leisure team member","2","Health and science","18","5000","Approved for delivery"
"ST1421","780","Recruiter","3","Business and administration","18","7000","Approved for delivery"
"ST0585","337","Data scientist (integrated degree)","6","Digital","36","19000","Approved for delivery"
"ST0490","822","Teacher - Postgraduate","6","Education and early years","9","9000","Approved for delivery"
"ST1502","823","Teacher - Undergraduate","6","Education and early years","45","27000","Approved for delivery"
"ST0901","629","VFX supervisor","7","Creative and design","18","21000","Approved for delivery"
"ST0422","249","Science manufacturing process operative","2","Engineering and manufacturing","18","7000","Approved for delivery"
"ST0604","296","Commercial laundry operative","2","Engineering and manufacturing","12","6000","Approved for delivery"
"ST0195","16","Food and drink maintenance engineer","3","Engineering and manufacturing","42","26000","Approved for delivery"
"ST0615","343","Demolition operative","2","Construction and the built environment","24","18000","Approved for delivery"
"ST0264","239","Carpentry and joinery","2","Construction and the built environment","24","13000","Approved for delivery"
"ST1406","755","Science manufacturing technician 2023","3","Engineering and manufacturing","36","22000","Approved for delivery"
"ST0005","119","Adult care worker","2","Care services","12","4000","Approved for delivery"
"ST1311","745","Licensed conveyancer or licensed probate practitioner","6","Legal, finance and accounting","56","18000","Approved for delivery"
"ST0432","377","Engineering fitter","3","Engineering and manufacturing","42","21000","Approved for delivery"
"ST0480","236","Senior leader","7","Business and administration","24","14000","Approved for delivery"